Sector,Ticker,x,y
Financials,GS,-0.9566032,-39.67022
Healthcare,UNH,-11.999399,-52.61996
Staples,KO,-19.275146,-49.65125
Info Tech,MSFT,12.6322975,-7.0910015
Info Tech,GOOGL,0.071030654,-25.109367
Industrials,DAL,18.080101,2.8761828
Staples,NKE,8.056006,45.578
Info Tech,META,-11.882536,-28.28937
Financials,BAC,3.3821104,-32.31083
Energy,CVX,16.207653,20.15367
Info Tech,NVDA,-15.247159,-19.337301
Healthcare,JNJ,8.149113,12.081164
Financials,JPM,-4.528891,-45.935356
Energy,HAL,1.4500295,44.098724
Industrials,CAT,10.0619955,-1.0974293
Healthcare,PFE,3.5389922,50.596676
Industrials,MMM,-18.304922,-28.096304
Energy,XOM,15.438195,10.647683
Staples,MCD,-13.352354,-45.387505
Info Tech,AAPL,5.0050793,-7.7543526
