label,x,y
BAC,-11.05679,17.06714
HAL,28.862822,-45.443405
CAT,0.9640895,-10.804841
MCD,-29.796297,40.040615
MMM,-7.708146,-14.165925
KO,-31.580036,48.01503
MSFT,-7.864225,26.031078
NVDA,1.6949639,2.5438297
XOM,4.6116047,-34.61463
CVX,21.591812,-56.916836
NKE,12.004748,-32.337227
GS,-17.92221,27.256771
JPM,-20.33156,34.967827
GOOGL,-2.8442364,36.016254
META,8.764074,-21.814747
PFE,18.708218,-45.346268
DAL,-7.3028307,-4.7108884
UNH,22.315882,-66.476555
AAPL,-7.629207,7.3695836
JNJ,9.306815,-42.262016
